,Index,Name,Area,Review_Date,Rating_attribute,Rating(Out of 10),Review_Text,tokens,sentiment,compound_score,sentiment_category,positive_score,negative_score,neutral_score
474,474,New Delhi YMCA Tourist Hostel,"Connaught Place, New Delhi",Jul-23,Good,7.0,Connectivity to all locations,"['Connectivity', 'to', 'all', 'locations']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
475,475,New Delhi YMCA Tourist Hostel,"Connaught Place, New Delhi",Aug-23,Its okay for short trip travellers.,5.0,"Food was awesome. Location was good, nearby metro.","['Food', 'was', 'awesome', '.', 'Location', 'was', 'good', ',', 'nearby', 'metro', '.']","{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.7906}",0.7906,Positive,0.538,0.0,0.462
476,476,New Delhi YMCA Tourist Hostel,"Connaught Place, New Delhi",Aug-23,Good,7.0,"Location
Staff
Food","['Location', 'Staff', 'Food']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
477,477,New Delhi YMCA Tourist Hostel,"Connaught Place, New Delhi",Jul-23,Very good,8.0,Well located and decent facilities,"['Well', 'located', 'and', 'decent', 'facilities']","{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.2732}",0.2732,Positive,0.344,0.0,0.656
478,478,New Delhi YMCA Tourist Hostel,"Connaught Place, New Delhi",Jul-23,"Poor cleanliness, poor breakfast, poor service, no water, lock was not workingin room,",5.0,Break fast is poor in taste with less varieties. In veg category Idli only available. Location is very good,"['Break', 'fast', 'is', 'poor', 'in', 'taste', 'with', 'less', 'varieties', '.', 'In', 'veg', 'category', 'Idli', 'only', 'available', '.', 'Location', 'is', 'very', 'good']","{'neg': 0.133, 'neu': 0.73, 'pos': 0.137, 'compound': 0.024}",0.024,Neutral,0.137,0.133,0.73
479,479,New Delhi YMCA Tourist Hostel,"Connaught Place, New Delhi",Jun-23,A decent stay in central delhi.,6.0,"The location. Near CP.
It is an alternative to more expensive prooerties around. A decent , no non sense stay. You get a hostel vibe rather than hotel","['The', 'location', '.', 'Near', 'CP', '.', 'It', 'is', 'an', 'alternative', 'to', 'more', 'expensive', 'prooerties', 'around', '.', 'A', 'decent', ',', 'no', 'non', 'sense', 'stay', '.', 'You', 'get', 'a', 'hostel', 'vibe', 'rather', 'than', 'hotel']","{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,0.0,0.084,0.916
480,480,The Gold Regency - 02 Mins from New Delhi Railway Station,"Paharganj, New Delhi",Apr-23,Great stay,10.0,"Very clean, professionally staffed and close proximity to the station.","['Very', 'clean', ',', 'professionally', 'staffed', 'and', 'close', 'proximity', 'to', 'the', 'station', '.']","{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.4576}",0.4576,Positive,0.25,0.0,0.75
481,481,The Gold Regency - 02 Mins from New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Good for a Short Stay,7.0,"The location was perfect for what we needed. It was good for a short stay.
The hotel staff were always on hand to help.
There was a small safe and a fridge which were useful.
The bathroom had soap, shampoo and toilet roll and was perfectly practical.
From our room, we could not hear any of the noise from the street outside.","['The', 'location', 'was', 'perfect', 'for', 'what', 'we', 'needed', '.', 'It', 'was', 'good', 'for', 'a', 'short', 'stay', '.', 'The', 'hotel', 'staff', 'were', 'always', 'on', 'hand', 'to', 'help', '.', 'There', 'was', 'a', 'small', 'safe', 'and', 'a', 'fridge', 'which', 'were', 'useful', '.', 'The', 'bathroom', 'had', 'soap', ',', 'shampoo', 'and', 'toilet', 'roll', 'and', 'was', 'perfectly', 'practical', '.', 'From', 'our', 'room', ',', 'we', 'could', 'not', 'hear', 'any', 'of', 'the', 'noise', 'from', 'the', 'street', 'outside', '.']","{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.9702}",0.9702,Positive,0.302,0.0,0.698
482,482,The Gold Regency - 02 Mins from New Delhi Railway Station,"Paharganj, New Delhi",Apr-23,Good,7.0,"It was a very reasonably priced hotel for the location, the staff were helpful and we were given free bottled water each day.","['It', 'was', 'a', 'very', 'reasonably', 'priced', 'hotel', 'for', 'the', 'location', ',', 'the', 'staff', 'were', 'helpful', 'and', 'we', 'were', 'given', 'free', 'bottled', 'water', 'each', 'day', '.']","{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.7269}",0.7269,Positive,0.234,0.0,0.766
483,483,The Gold Regency - 02 Mins from New Delhi Railway Station,"Paharganj, New Delhi",Apr-23,Nice hotel / location for a short stay.,7.0,"Location on Main Bazaar, quite thanks to ecellent double glazing.  Great bathroom.","['Location', 'on', 'Main', 'Bazaar', ',', 'quite', 'thanks', 'to', 'ecellent', 'double', 'glazing', '.', 'Great', 'bathroom', '.']","{'neg': 0.0, 'neu': 0.578, 'pos': 0.422, 'compound': 0.807}",0.807,Positive,0.422,0.0,0.578
484,484,The Gold Regency - 02 Mins from New Delhi Railway Station,"Paharganj, New Delhi",Mar-23,just for location ok,6.0,"location is good 👍🏻. near the train station 300m and Connaught place 700m for take dinner , shop étc","['location', 'is', 'good', '👍🏻', '.', 'near', 'the', 'train', 'station', '300m', 'and', 'Connaught', 'place', '700m', 'for', 'take', 'dinner', ',', 'shop', 'étc']","{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.4404}",0.4404,Positive,0.146,0.0,0.854
485,485,The Gold Regency - 02 Mins from New Delhi Railway Station,"Paharganj, New Delhi",Mar-23,Very good,8.0,Comfortable room. Cleaning consistently good. Willing service. Location very good for New Delhi station but the streets between the hotel and station are always busy and pedestrians need to take care.,"['Comfortable', 'room', '.', 'Cleaning', 'consistently', 'good', '.', 'Willing', 'service', '.', 'Location', 'very', 'good', 'for', 'New', 'Delhi', 'station', 'but', 'the', 'streets', 'between', 'the', 'hotel', 'and', 'station', 'are', 'always', 'busy', 'and', 'pedestrians', 'need', 'to', 'take', 'care', '.']","{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.8537}",0.8537,Positive,0.277,0.0,0.723
486,486,The Gold Regency - 02 Mins from New Delhi Railway Station,"Paharganj, New Delhi",Feb-23,Good,7.0,"Very close (5 mins walk) to the main/New Delhi metro system. 
The housekeeping staff were outstanding. 
My bed was soooooo comfy.","['Very', 'close', '(', '5', 'mins', 'walk', ')', 'to', 'the', 'main/New', 'Delhi', 'metro', 'system', '.', 'The', 'housekeeping', 'staff', 'were', 'outstanding', '.', 'My', 'bed', 'was', 'soooooo', 'comfy', '.']","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.6124}",0.6124,Positive,0.167,0.0,0.833
487,487,The Gold Regency - 02 Mins from New Delhi Railway Station,"Paharganj, New Delhi",Feb-23,Good,7.0,Rooms are good they gave us suit room,"['Rooms', 'are', 'good', 'they', 'gave', 'us', 'suit', 'room']","{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,Positive,0.293,0.0,0.707
488,488,The Gold Regency - 02 Mins from New Delhi Railway Station,"Paharganj, New Delhi",Jan-23,"It was regular, not really good.",7.0,The room service was good,"['The', 'room', 'service', 'was', 'good']","{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,0.42,0.0,0.58
489,489,The Gold Regency - 02 Mins from New Delhi Railway Station,"Paharganj, New Delhi",Jan-23,Very good,8.0,"Staff was very helpful.
Service was good and timely.","['Staff', 'was', 'very', 'helpful', '.', 'Service', 'was', 'good', 'and', 'timely', '.']","{'neg': 0.0, 'neu': 0.539, 'pos': 0.461, 'compound': 0.7178}",0.7178,Positive,0.461,0.0,0.539
490,490,FabHotel Grand Stay,"East Delhi, New Delhi",May-23,Superb,9.0,Management and Location are good.,"['Management', 'and', 'Location', 'are', 'good', '.']","{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,0.42,0.0,0.58
491,491,FabHotel Grand Stay,"East Delhi, New Delhi",May-23,Very good,8.0,Overall room was good .,"['Overall', 'room', 'was', 'good', '.']","{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,0.492,0.0,0.508
492,492,FabHotel Grand Stay,"East Delhi, New Delhi",May-23,Excellent service,8.0,Everything was really good  Service and all very good i am happy  was supportive and the food was wow good place to visit expect better services.,"['Everything', 'was', 'really', 'good', 'Service', 'and', 'all', 'very', 'good', 'i', 'am', 'happy', 'was', 'supportive', 'and', 'the', 'food', 'was', 'wow', 'good', 'place', 'to', 'visit', 'expect', 'better', 'services', '.']","{'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.97}",0.97,Positive,0.555,0.0,0.445
493,493,FabHotel Grand Stay,"East Delhi, New Delhi",May-23,Excellent,8.0,Excellent food and very nice ambience. Must visit for great experience and enjoy with your family and friends with good food... We really enjoyed the food. Hotel is good. Hotels has nice staff and services,"['Excellent', 'food', 'and', 'very', 'nice', 'ambience', '.', 'Must', 'visit', 'for', 'great', 'experience', 'and', 'enjoy', 'with', 'your', 'family', 'and', 'friends', 'with', 'good', 'food', '...', 'We', 'really', 'enjoyed', 'the', 'food', '.', 'Hotel', 'is', 'good', '.', 'Hotels', 'has', 'nice', 'staff', 'and', 'services']","{'neg': 0.0, 'neu': 0.467, 'pos': 0.533, 'compound': 0.9829}",0.9829,Positive,0.533,0.0,0.467
494,494,FabHotel Grand Stay,"East Delhi, New Delhi",May-23,Excellent stay,8.0,The staff is very supportive. The food is also excellent. And the service of the is very best. I am so happy to stay here and i recommend my friend to stay here.,"['The', 'staff', 'is', 'very', 'supportive', '.', 'The', 'food', 'is', 'also', 'excellent', '.', 'And', 'the', 'service', 'of', 'the', 'is', 'very', 'best', '.', 'I', 'am', 'so', 'happy', 'to', 'stay', 'here', 'and', 'i', 'recommend', 'my', 'friend', 'to', 'stay', 'here', '.']","{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.9656}",0.9656,Positive,0.449,0.0,0.551
495,495,FabHotel Grand Stay,"East Delhi, New Delhi",Apr-23,It was a good stay...good staff,8.0,The stay was good and the staff was also nice..overall the stay was very comfortable.. Breakfast has all varieties..rooms clean so would recommend the stay.,"['The', 'stay', 'was', 'good', 'and', 'the', 'staff', 'was', 'also', 'nice', '..', 'overall', 'the', 'stay', 'was', 'very', 'comfortable', '..', 'Breakfast', 'has', 'all', 'varieties', '..', 'rooms', 'clean', 'so', 'would', 'recommend', 'the', 'stay', '.']","{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.8115}",0.8115,Positive,0.276,0.0,0.724
496,496,FabHotel Grand Stay,"East Delhi, New Delhi",Aug-23,Pathetic. Not worth for money.,1.0,"Not worth for money. Mosquitoes in the room. Complained to the staff, no proper resolution.bathroom was dirty and stain were there completely.","['Not', 'worth', 'for', 'money', '.', 'Mosquitoes', 'in', 'the', 'room', '.', 'Complained', 'to', 'the', 'staff', ',', 'no', 'proper', 'resolution.bathroom', 'was', 'dirty', 'and', 'stain', 'were', 'there', 'completely', '.']","{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.8159}",-0.8159,Negative,0.0,0.345,0.655
497,497,FabHotel Grand Stay,"East Delhi, New Delhi",Jun-23,Superb,9.0,Behavior of staff and inside  ambience,"['Behavior', 'of', 'staff', 'and', 'inside', 'ambience']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
498,498,FabHotel Grand Stay,"East Delhi, New Delhi",Jun-23,Very poor,2.0,Nothing,['Nothing'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
499,499,FabHotel Grand Stay,"East Delhi, New Delhi",May-23,Bad,1.0,Zero rating,"['Zero', 'rating']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
500,500,Hotel Neu Villa - Walk In from New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Good location,10.0,"Very goods and comfortable stay that more than my expectations rooms are clean and staff is very friendly,foods are very tasty...","['Very', 'goods', 'and', 'comfortable', 'stay', 'that', 'more', 'than', 'my', 'expectations', 'rooms', 'are', 'clean', 'and', 'staff', 'is', 'very', 'friendly', ',', 'foods', 'are', 'very', 'tasty', '...']","{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.7402}",0.7402,Positive,0.248,0.0,0.752
501,501,Hotel Neu Villa - Walk In from New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Good,7.0,Location is very close to main bazaar and not far from a metro (but not a metro stop on the airport Express line). Maybe 120 inr from new delhi station.,"['Location', 'is', 'very', 'close', 'to', 'main', 'bazaar', 'and', 'not', 'far', 'from', 'a', 'metro', '(', 'but', 'not', 'a', 'metro', 'stop', 'on', 'the', 'airport', 'Express', 'line', ')', '.', 'Maybe', '120', 'inr', 'from', 'new', 'delhi', 'station', '.']","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.2235}",0.2235,Positive,0.065,0.0,0.935
502,502,Hotel Neu Villa - Walk In from New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Exceptional,10.0,Good location very close to metro r k ashram nice Hotel with clean room Good room service staff full help full thank you for Good service,"['Good', 'location', 'very', 'close', 'to', 'metro', 'r', 'k', 'ashram', 'nice', 'Hotel', 'with', 'clean', 'room', 'Good', 'room', 'service', 'staff', 'full', 'help', 'full', 'thank', 'you', 'for', 'Good', 'service']","{'neg': 0.0, 'neu': 0.467, 'pos': 0.533, 'compound': 0.9545}",0.9545,Positive,0.533,0.0,0.467
503,503,Hotel Neu Villa - Walk In from New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Exceptional,10.0,"Location, silence, clean","['Location', ',', 'silence', ',', 'clean']","{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.4019}",0.4019,Positive,0.574,0.0,0.426
504,504,Hotel Neu Villa - Walk In from New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Bad Experience never suggest this place for anyone!!!,1.0,"booked family room with 2 double beds, offered a normal room. very unhygienic, broken door locks, dirty bathroom and  commode, Ac remote no battery, tv not working, bad smell. the worst hotel i have ever visited. checked out early not stayed 3 nights as planned before as it was not suitable for a family. hotel charged more than the amount which is mentioned on email I received from booking.com.","['booked', 'family', 'room', 'with', '2', 'double', 'beds', ',', 'offered', 'a', 'normal', 'room', '.', 'very', 'unhygienic', ',', 'broken', 'door', 'locks', ',', 'dirty', 'bathroom', 'and', 'commode', ',', 'Ac', 'remote', 'no', 'battery', ',', 'tv', 'not', 'working', ',', 'bad', 'smell', '.', 'the', 'worst', 'hotel', 'i', 'have', 'ever', 'visited', '.', 'checked', 'out', 'early', 'not', 'stayed', '3', 'nights', 'as', 'planned', 'before', 'as', 'it', 'was', 'not', 'suitable', 'for', 'a', 'family', '.', 'hotel', 'charged', 'more', 'than', 'the', 'amount', 'which', 'is', 'mentioned', 'on', 'email', 'I', 'received', 'from', 'booking.com', '.']","{'neg': 0.194, 'neu': 0.768, 'pos': 0.038, 'compound': -0.8892}",-0.8892,Negative,0.038,0.194,0.768
505,505,Hotel Neu Villa - Walk In from New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Nice stay with good staff,10.0,"Location was very premium, staff was super active. The hotel was quite good. The hotel is too close to the new delhi railway station.","['Location', 'was', 'very', 'premium', ',', 'staff', 'was', 'super', 'active', '.', 'The', 'hotel', 'was', 'quite', 'good', '.', 'The', 'hotel', 'is', 'too', 'close', 'to', 'the', 'new', 'delhi', 'railway', 'station', '.']","{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.8687}",0.8687,Positive,0.318,0.0,0.682
506,506,Hotel Neu Villa - Walk In from New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Good experience to stay here,10.0,"Rooms are clean and comfortable.Staff was very helpful and friendly.Foods was awesome,Value for money stay….","['Rooms', 'are', 'clean', 'and', 'comfortable.Staff', 'was', 'very', 'helpful', 'and', 'friendly.Foods', 'was', 'awesome', ',', 'Value', 'for', 'money', 'stay…', '.']","{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.6997}",0.6997,Positive,0.308,0.0,0.692
507,507,Hotel Neu Villa - Walk In from New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,"Location was so premium, staff was so great.",10.0,"Hotel location was very good, too much near from RK Ashram metro station. Room was very neat and clean. Staff behavior was so great, so helpful.","['Hotel', 'location', 'was', 'very', 'good', ',', 'too', 'much', 'near', 'from', 'RK', 'Ashram', 'metro', 'station', '.', 'Room', 'was', 'very', 'neat', 'and', 'clean', '.', 'Staff', 'behavior', 'was', 'so', 'great', ',', 'so', 'helpful', '.']","{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.962}",0.962,Positive,0.47,0.0,0.53
508,508,Hotel Neu Villa - Walk In from New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Immaculate service from delightful staff,10.0,"The room was set out really well and very specious. Wonderful hotel with amazingly attentive staff, I love that they are talking contactless service way too seriously. So many little things to love.","['The', 'room', 'was', 'set', 'out', 'really', 'well', 'and', 'very', 'specious', '.', 'Wonderful', 'hotel', 'with', 'amazingly', 'attentive', 'staff', ',', 'I', 'love', 'that', 'they', 'are', 'talking', 'contactless', 'service', 'way', 'too', 'seriously', '.', 'So', 'many', 'little', 'things', 'to', 'love', '.']","{'neg': 0.039, 'neu': 0.614, 'pos': 0.348, 'compound': 0.9393}",0.9393,Positive,0.348,0.039,0.614
509,509,Hotel Neu Villa - Walk In from New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Non bene,3.0,La posizione ? Me lo chiedo perché è molto più aggressiva la posizione di qualche anno fa ma ci siamo trovati bene esci e trovi tutto,"['La', 'posizione', '?', 'Me', 'lo', 'chiedo', 'perché', 'è', 'molto', 'più', 'aggressiva', 'la', 'posizione', 'di', 'qualche', 'anno', 'fa', 'ma', 'ci', 'siamo', 'trovati', 'bene', 'esci', 'e', 'trovi', 'tutto']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
510,510,Delhi Pride Hotel,"Karol bagh, New Delhi",May-23,Exceptional,10.0,"Nice hotel good hotel staff 
Mr Suraj is very good person","['Nice', 'hotel', 'good', 'hotel', 'staff', 'Mr', 'Suraj', 'is', 'very', 'good', 'person']","{'neg': 0.0, 'neu': 0.482, 'pos': 0.518, 'compound': 0.8225}",0.8225,Positive,0.518,0.0,0.482
511,511,Delhi Pride Hotel,"Karol bagh, New Delhi",Aug-23,Good,7.0,Breakfast was excellent. Market was near by.,"['Breakfast', 'was', 'excellent', '.', 'Market', 'was', 'near', 'by', '.']","{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.5719}",0.5719,Positive,0.381,0.0,0.619
512,512,Delhi Pride Hotel,"Karol bagh, New Delhi",Aug-23,NOT FOR FAMILY,6.0,Staff behaviour,"['Staff', 'behaviour']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
513,513,Delhi Pride Hotel,"Karol bagh, New Delhi",Aug-23,Pleasant,6.0,Staff behaviour,"['Staff', 'behaviour']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
514,514,Delhi Pride Hotel,"Karol bagh, New Delhi",Aug-23,Good,7.0,STAFF BEHAVIOUR WAS GOOD,"['STAFF', 'BEHAVIOUR', 'WAS', 'GOOD']","{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,0.492,0.0,0.508
515,515,Delhi Pride Hotel,"Karol bagh, New Delhi",Jul-23,Not the best but I would stay again if I had to.,7.0,"The staffs were friendly. The room was exactly what i saw in picture. Comparing to other hotels in Delhi, this was satisfactory.","['The', 'staffs', 'were', 'friendly', '.', 'The', 'room', 'was', 'exactly', 'what', 'i', 'saw', 'in', 'picture', '.', 'Comparing', 'to', 'other', 'hotels', 'in', 'Delhi', ',', 'this', 'was', 'satisfactory', '.']","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6908}",0.6908,Positive,0.231,0.0,0.769
516,516,Delhi Pride Hotel,"Karol bagh, New Delhi",Jul-23,You have to improve the services for your customers.,6.0,Room cleanliness and space.,"['Room', 'cleanliness', 'and', 'space', '.']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
517,517,Delhi Pride Hotel,"Karol bagh, New Delhi",Jul-23,Very good,8.0,Good,['Good'],"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,Positive,1.0,0.0,0.0
518,518,Delhi Pride Hotel,"Karol bagh, New Delhi",Mar-23,Good,7.0,"Decent location in Karol Bagh not too far from the metro. Decent-sized room, comfortable bed, fair value for money.","['Decent', 'location', 'in', 'Karol', 'Bagh', 'not', 'too', 'far', 'from', 'the', 'metro', '.', 'Decent-sized', 'room', ',', 'comfortable', 'bed', ',', 'fair', 'value', 'for', 'money', '.']","{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7906}",0.7906,Positive,0.333,0.0,0.667
519,519,Delhi Pride Hotel,"Karol bagh, New Delhi",Apr-23,Gave unsealed water bottle,6.0,ac cooling,"['ac', 'cooling']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
520,520,Hotel Mannat,"Pashim Vihar, New Delhi",Aug-23,Exceptional,10.0, no comments available for this review,"['no', 'comments', 'available', 'for', 'this', 'review']","{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,0.0,0.306,0.694
521,521,Hotel Mannat,"Pashim Vihar, New Delhi",Aug-23,Exceptional,10.0, no comments available for this review,"['no', 'comments', 'available', 'for', 'this', 'review']","{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,0.0,0.306,0.694
522,522,Hotel Harsha International,"Paharganj, New Delhi",Oct-21,Exceptional,10.0,"Close to the New Delhi Railway station, Nice clean room, staff was very helpful.","['Close', 'to', 'the', 'New', 'Delhi', 'Railway', 'station', ',', 'Nice', 'clean', 'room', ',', 'staff', 'was', 'very', 'helpful', '.']","{'neg': 0.0, 'neu': 0.561, 'pos': 0.439, 'compound': 0.8221}",0.8221,Positive,0.439,0.0,0.561
523,523,Hotel Harsha International,"Paharganj, New Delhi",Jul-23,Very good,8.0, · Location is not showing same in Google as property situated. It is showing near Rachna Hotel while it is in front of Quality holel. Secondly No Mobile number shared after booking and given landline number couldn't picked by any body.,"['·', 'Location', 'is', 'not', 'showing', 'same', 'in', 'Google', 'as', 'property', 'situated', '.', 'It', 'is', 'showing', 'near', 'Rachna', 'Hotel', 'while', 'it', 'is', 'in', 'front', 'of', 'Quality', 'holel', '.', 'Secondly', 'No', 'Mobile', 'number', 'shared', 'after', 'booking', 'and', 'given', 'landline', 'number', 'could', ""n't"", 'picked', 'by', 'any', 'body', '.']","{'neg': 0.051, 'neu': 0.833, 'pos': 0.116, 'compound': 0.2023}",0.2023,Positive,0.116,0.051,0.833
524,524,Hotel Harsha International,"Paharganj, New Delhi",Jul-23,Ok stay near Delhi Railway station,6.0,"Budget hotel near Delhi Railway station, friendly staff","['Budget', 'hotel', 'near', 'Delhi', 'Railway', 'station', ',', 'friendly', 'staff']","{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.4939}",0.4939,Positive,0.314,0.0,0.686
525,525,Hotel Harsha International,"Paharganj, New Delhi",Jun-23,ROOM WAS GOOD,7.0,ROOM AC WAS WORKING    NO NOISE NO DISTURBANCE,"['ROOM', 'AC', 'WAS', 'WORKING', 'NO', 'NOISE', 'NO', 'DISTURBANCE']","{'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.7184}",-0.7184,Negative,0.0,0.583,0.417
526,526,Hotel Harsha International,"Paharganj, New Delhi",Jun-23,Good,7.0,The staff and the room was really great.,"['The', 'staff', 'and', 'the', 'room', 'was', 'really', 'great', '.']","{'neg': 0.0, 'neu': 0.614, 'pos': 0.386, 'compound': 0.659}",0.659,Positive,0.386,0.0,0.614
527,527,Hotel Harsha International,"Paharganj, New Delhi",Jun-23,Very good,8.0,Over all very good,"['Over', 'all', 'very', 'good']","{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4927}",0.4927,Positive,0.516,0.0,0.484
528,528,Hotel Harsha International,"Paharganj, New Delhi",Jun-23,Not now,7.0,No breakfast offered!,"['No', 'breakfast', 'offered', '!']","{'neg': 0.555, 'neu': 0.445, 'pos': 0.0, 'compound': -0.3595}",-0.3595,Negative,0.0,0.555,0.445
529,529,Hotel Harsha International,"Paharganj, New Delhi",May-23,Low cost high level room,7.0,Cheap but best.,"['Cheap', 'but', 'best', '.']","{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.7783}",0.7783,Positive,0.744,0.0,0.256
530,530,Hotel Harsha International,"Paharganj, New Delhi",May-23,Hotel Harsha,8.0,"The behaviour of staff,","['The', 'behaviour', 'of', 'staff', ',']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
531,531,Hotel Harsha International,"Paharganj, New Delhi",May-23,Pleasant,6.0,Nice location. Near to NewDelhi station. All foodstuffs are available nearby with affordable prices.,"['Nice', 'location', '.', 'Near', 'to', 'NewDelhi', 'station', '.', 'All', 'foodstuffs', 'are', 'available', 'nearby', 'with', 'affordable', 'prices', '.']","{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}",0.4215,Positive,0.177,0.0,0.823
532,532,FabHotel Nirvana Suites,"Jasola, New Delhi",Jun-23,Nice stay,10.0,Absolutely amazing customer service  I would not only recommend the hotel but look forward to visiting again in the future..  Room are clean and spacious.,"['Absolutely', 'amazing', 'customer', 'service', 'I', 'would', 'not', 'only', 'recommend', 'the', 'hotel', 'but', 'look', 'forward', 'to', 'visiting', 'again', 'in', 'the', 'future', '..', 'Room', 'are', 'clean', 'and', 'spacious', '.']","{'neg': 0.054, 'neu': 0.733, 'pos': 0.213, 'compound': 0.6748}",0.6748,Positive,0.213,0.054,0.733
533,533,FabHotel Nirvana Suites,"Jasola, New Delhi",Aug-23,Very good,8.0,friendly stay and a very good location!,"['friendly', 'stay', 'and', 'a', 'very', 'good', 'location', '!']","{'neg': 0.0, 'neu': 0.374, 'pos': 0.626, 'compound': 0.7707}",0.7707,Positive,0.626,0.0,0.374
534,534,FabHotel Nirvana Suites,"Jasola, New Delhi",Aug-23,Very good,8.0,"Great hotel, great location.very courteous staff overall","['Great', 'hotel', ',', 'great', 'location.very', 'courteous', 'staff', 'overall']","{'neg': 0.0, 'neu': 0.258, 'pos': 0.742, 'compound': 0.91}",0.91,Positive,0.742,0.0,0.258
535,535,FabHotel Nirvana Suites,"Jasola, New Delhi",Aug-23,Very good,8.0,Receptionist and staff was good.,"['Receptionist', 'and', 'staff', 'was', 'good', '.']","{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,0.42,0.0,0.58
